data_inicio_atividade,uf,quantidade
2016-09-01,PI,1
2016-09-01,PR,14
2016-09-01,RJ,41
2016-09-01,RN,4
2016-09-01,RO,2
2016-09-01,RS,15
2016-09-01,SC,17
2016-09-01,SP,68
2016-09-01,TO,1
2016-10-01,AC,1
2016-10-01,AL,1
2016-10-01,AM,2
2016-10-01,BA,13
2016-10-01,CE,7
2016-10-01,DF,4
2016-10-01,ES,10
2016-10-01,GO,7
2016-10-01,MG,27
2016-10-01,MS,4
2016-10-01,MT,4
2016-10-01,PA,9
2016-10-01,PB,3
2016-10-01,PE,9
2016-10-01,PI,1
2016-10-01,PR,14
2016-10-01,RJ,34
2016-10-01,RN,2
2016-10-01,RO,1
2016-10-01,RR,1
2016-10-01,RS,11
2016-10-01,SC,10
2016-10-01,SE,1
2016-10-01,SP,74
2016-10-01,TO,1
2016-11-01,AC,2
2016-11-01,AM,1
2016-11-01,AP,2
2016-11-01,BA,12
2016-11-01,CE,3
2016-11-01,DF,5
2016-11-01,ES,3
2016-11-01,GO,12
2016-11-01,MA,3
2016-11-01,MG,22
2016-11-01,MS,5
2016-11-01,MT,4
2016-11-01,PA,4
2016-11-01,PB,2
2016-11-01,PE,7
2016-11-01,PI,2
2016-11-01,PR,14
2016-11-01,RJ,29
2016-11-01,RN,3
2016-11-01,RO,3
2016-11-01,RS,13
2016-11-01,SC,6
2016-11-01,SE,1
2016-11-01,SP,69
2016-12-01,AL,3
2016-12-01,AM,2
2016-12-01,AP,1
2016-12-01,BA,5
2016-12-01,CE,6
2016-12-01,DF,2
2016-12-01,ES,4
2016-12-01,GO,6
2016-12-01,MA,1
2016-12-01,MG,25
2016-12-01,MS,2
2016-12-01,MT,1
2016-12-01,PA,5
2016-12-01,PB,1
2016-12-01,PE,5
2016-12-01,PI,1
2016-12-01,PR,13
2016-12-01,RJ,23
2016-12-01,RO,2
2016-12-01,RR,1
2016-12-01,RS,9
2016-12-01,SC,6
2016-12-01,SE,1
2016-12-01,SP,53
2016-12-01,TO,6
2017-01-01,AC,2
2017-01-01,AL,2
2017-01-01,AM,3
2017-01-01,AP,1
2017-01-01,BA,8
2017-01-01,CE,6
2017-01-01,DF,6
2017-01-01,ES,3
2017-01-01,GO,16
2017-01-01,MA,3
2017-01-01,MG,40
2017-01-01,MS,6
2017-01-01,MT,5
2017-01-01,PA,4
2017-01-01,PB,5
2017-01-01,PE,9
2017-01-01,PI,7
2017-01-01,PR,18
2017-01-01,RJ,33
2017-01-01,RN,1
2017-01-01,RO,2
2017-01-01,RR,1
2017-01-01,RS,10
2017-01-01,SC,11
2017-01-01,SE,3
2017-01-01,SP,73
2017-01-01,TO,3
2017-02-01,AC,2
2017-02-01,AL,5
2017-02-01,AM,2
2017-02-01,BA,16
2017-02-01,CE,5
2017-02-01,DF,5
2017-02-01,ES,7
2017-02-01,GO,10
2017-02-01,MA,2
2017-02-01,MG,25
2017-02-01,MS,2
2017-02-01,MT,10
2017-02-01,PA,7
2017-02-01,PB,4
2017-02-01,PE,11
2017-02-01,PI,2
2017-02-01,PR,25
2017-02-01,RJ,20
2017-02-01,RN,3
2017-02-01,RO,2
2017-02-01,RS,11
2017-02-01,SC,10
2017-02-01,SE,1
2017-02-01,SP,72
2017-02-01,TO,2
2017-03-01,AC,1
2017-03-01,AL,3
2017-03-01,AM,1
2017-03-01,AP,1
2017-03-01,BA,9
2017-03-01,CE,8
2017-03-01,DF,1
2017-03-01,ES,7
2017-03-01,GO,16
2017-03-01,MA,5
2017-03-01,MG,39
2017-03-01,MS,5
2017-03-01,MT,13
2017-03-01,PA,4
2017-03-01,PB,7
2017-03-01,PE,7
2017-03-01,PI,1
2017-03-01,PR,20
2017-03-01,RJ,42
2017-03-01,RN,4
2017-03-01,RO,1
2017-03-01,RR,2
2017-03-01,RS,19
2017-03-01,SC,11
2017-03-01,SE,2
2017-03-01,SP,82
2017-04-01,AC,1
2017-04-01,AL,2
2017-04-01,AM,1
2017-04-01,BA,10
2017-04-01,CE,4
2017-04-01,DF,3
2017-04-01,ES,10
2017-04-01,GO,9
2017-04-01,MA,1
2017-04-01,MG,35
2017-04-01,MS,6
2017-04-01,MT,4
2017-04-01,PA,6
2017-04-01,PB,3
2017-04-01,PE,9
2017-04-01,PI,3
2017-04-01,PR,16
2017-04-01,RJ,30
2017-04-01,RN,2
2017-04-01,RO,2
2017-04-01,RR,1
2017-04-01,RS,13
2017-04-01,SC,8
2017-04-01,SP,62
2017-05-01,AL,4
2017-05-01,AM,1
2017-05-01,BA,21
2017-05-01,CE,6
2017-05-01,DF,9
2017-05-01,ES,13
2017-05-01,GO,8
2017-05-01,MA,3
2017-05-01,MG,25
2017-05-01,MS,3
2017-05-01,MT,4
2017-05-01,PA,6
2017-05-01,PB,2
2017-05-01,PE,8
2017-05-01,PI,2
2017-05-01,PR,17
2017-05-01,RJ,36
2017-05-01,RN,3
2017-05-01,RS,15
2017-05-01,SC,10
2017-05-01,SE,1
2017-05-01,SP,74
2017-05-01,TO,4
2017-06-01,AL,5
2017-06-01,AM,1
2017-06-01,AP,1
2017-06-01,BA,14
2017-06-01,CE,8
2017-06-01,DF,7
2017-06-01,ES,9
2017-06-01,GO,6
2017-06-01,MA,4
2017-06-01,MG,30
2017-06-01,MS,4
2017-06-01,MT,4
2017-06-01,PA,5
2017-06-01,PB,3
2017-06-01,PE,8
2017-06-01,PI,3
2017-06-01,PR,15
2017-06-01,RJ,34
2017-06-01,RN,3
2017-06-01,RR,1
2017-06-01,RS,15
2017-06-01,SC,11
2017-06-01,SE,2
2017-06-01,SP,65
2017-06-01,TO,5
2017-07-01,AC,2
2017-07-01,AL,1
2017-07-01,AP,1
2017-07-01,BA,10
2017-07-01,CE,9
2017-07-01,DF,3
2017-07-01,ES,9
2017-07-01,GO,9
2017-07-01,MA,5
2017-07-01,MG,39
2017-07-01,MS,3
2017-07-01,MT,5
2017-07-01,PA,4
2017-07-01,PB,5
2017-07-01,PE,19
2017-07-01,PI,1
2017-07-01,PR,26
2017-07-01,RJ,30
2017-07-01,RN,4
2017-07-01,RS,11
2017-07-01,SC,15
2017-07-01,SE,3
2017-07-01,SP,73
2017-07-01,TO,2
2017-08-01,AC,1
2017-08-01,AL,3
2017-08-01,BA,15
2017-08-01,CE,9
2017-08-01,DF,3
2017-08-01,ES,10
2017-08-01,GO,10
2017-08-01,MA,2
2017-08-01,MG,31
2017-08-01,MS,7
2017-08-01,MT,6
2017-08-01,PA,7
2017-08-01,PB,7
2017-08-01,PE,8
2017-08-01,PI,1
2017-08-01,PR,23
2017-08-01,RJ,42
2017-08-01,RN,4
2017-08-01,RO,3
2017-08-01,RS,18
2017-08-01,SC,22
2017-08-01,SE,2
2017-08-01,SP,83
2017-08-01,TO,3
2017-09-01,AL,3
2017-09-01,AM,2
2017-09-01,BA,15
2017-09-01,CE,5
2017-09-01,DF,9
2017-09-01,ES,13
2017-09-01,GO,7
2017-09-01,MA,3
2017-09-01,MG,34
2017-09-01,MS,3
2017-09-01,MT,7
2017-09-01,PA,1
2017-09-01,PB,2
2017-09-01,PE,9
2017-09-01,PI,2
2017-09-01,PR,24
2017-09-01,RJ,34
2017-09-01,RN,4
2017-09-01,RS,13
2017-09-01,SC,12
2017-09-01,SE,2
2017-09-01,SP,86
2017-09-01,TO,1
2017-10-01,AM,2
2017-10-01,AP,1
2017-10-01,BA,13
2017-10-01,CE,5
2017-10-01,DF,5
2017-10-01,ES,4
2017-10-01,GO,9
2017-10-01,MA,3
2017-10-01,MG,32
2017-10-01,MS,1
2017-10-01,MT,4
2017-10-01,PA,5
2017-10-01,PB,2
2017-10-01,PE,7
2017-10-01,PI,3
2017-10-01,PR,17
2017-10-01,RJ,34
2017-10-01,RN,3
2017-10-01,RS,20
2017-10-01,SC,8
2017-10-01,SP,72
2017-10-01,TO,3
2017-11-01,AL,1
2017-11-01,AM,3
2017-11-01,BA,10
2017-11-01,CE,5
2017-11-01,DF,3
2017-11-01,ES,8
2017-11-01,GO,2
2017-11-01,MA,2
2017-11-01,MG,27
2017-11-01,MS,6
2017-11-01,MT,2
2017-11-01,PA,9
2017-11-01,PB,2
2017-11-01,PE,10
2017-11-01,PI,3
2017-11-01,PR,19
2017-11-01,RJ,18
2017-11-01,RN,3
2017-11-01,RO,2
2017-11-01,RS,15
2017-11-01,SC,10
2017-11-01,SE,2
2017-11-01,SP,58
2017-11-01,TO,2
2017-12-01,AL,2
2017-12-01,AM,1
2017-12-01,AP,1
2017-12-01,BA,11
2017-12-01,CE,1
2017-12-01,DF,4
2017-12-01,ES,8
2017-12-01,GO,4
